date,holiday
01/01/1997,New Year's Day
01/02/1997,Federal Territory Day
01/05/1997,Labour Day
07/06/1997,Yang di-Pertuan Agong’s Birthday
31/08/1997,National Day (Hari Merdeka)
25/12/1997,Christmas Day
01/01/1998,New Year's Day
01/02/1998,Federal Territory Day
01/05/1998,Labour Day
06/06/1998,Yang di-Pertuan Agong’s Birthday
31/08/1998,National Day (Hari Merdeka)
25/12/1998,Christmas Day
